,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
2967,2,2,1,2,11301,3,113,1,3.0,2.0,1.0,2.0,,2.0,2.0,1,2,1,1.0,1,2,2.0,2.5,2.0,0,3,3.17
7886,2,1,1,2,31101,3,311,1,8.0,8.0,1.0,1.0,,2.0,1.0,1,1,2,2.0,,,2.0,8.0,1.0,1,3,5.83
20846,2,2,1,2,71403,4,71,1,3.0,2.0,1.0,3.0,,2.0,2.0,2,1,1,2.0,,,3.0,2.5,3.0,0,1,4.5
27936,2,1,1,2,91301,5,913,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,5,1,2.0,,,3.0,3.0,2.0,0,3,3.17
2792,2,1,1,2,11301,3,113,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,2,2,1.0,1,2,2.0,3.0,2.0,0,3,3.17
3687,2,1,1,2,11301,3,113,1,7.0,6.0,1.0,1.0,,2.0,2.0,1,4,1,1.0,1,2,2.0,6.5,1.0,0,3,1.83
15451,2,3,3,2,42101,3,42,1,3.0,3.0,2.0,1.0,2.0,1.0,2.0,4,,1,1.0,1,2,2.0,3.0,2.0,1,0,7.67
22473,1,3,1,2,71603,4,71,1,8.0,5.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,3.0,6.5,1.0,0,0,1.83
30631,1,1,1,2,101401,3,1014,1,8.0,8.0,2.0,2.0,3.0,2.0,2.0,1,1,2,2.0,,,2.0,8.0,3.0,0,3,5.0
27801,2,3,1,2,91301,5,913,1,3.0,3.0,1.0,3.0,,2.0,2.0,4,,1,2.0,,,1.0,3.0,3.0,0,0,4.5
7342,2,1,1,2,23104,1,23,1,8.0,8.0,2.0,1.0,2.0,2.0,1.0,3,5,2,1.0,2,2,2.0,8.0,2.0,1,2,7.67
18455,2,1,1,2,53301,2,53,1,8.0,8.0,1.0,1.0,,2.0,2.0,2,1,2,1.0,2,2,3.0,8.0,1.0,0,1,1.83
3925,1,2,1,2,11401,3,11,1,7.0,8.0,1.0,1.0,,2.0,2.0,1,1,2,2.0,,,2.0,7.5,1.0,0,3,1.83
20676,2,2,1,2,71402,4,71,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,1,2,1.0,1,2,3.0,3.0,2.0,0,3,3.17
17074,2,1,1,2,51901,2,51,1,8.0,8.0,2.0,1.0,3.0,2.0,2.0,3,5,2,2.0,,,2.0,8.0,3.0,0,2,5.0
10592,2,1,1,2,32102,3,32,1,3.0,2.0,1.0,2.0,,2.0,2.0,3,5,2,1.0,1,2,2.0,2.5,2.0,0,2,3.17
14517,1,1,1,2,42101,3,42,1,7.0,7.0,1.0,1.0,,2.0,1.0,1,2,2,1.0,2,2,2.0,7.0,1.0,1,3,5.83
13810,2,1,1,2,41303,3,413,1,4.0,6.0,1.0,3.0,,2.0,2.0,1,1,1,1.0,1,1,2.0,5.0,3.0,0,3,4.5
17249,1,1,1,2,52101,2,52,1,8.0,8.0,2.0,2.0,3.0,2.0,2.0,4,,2,2.0,,,3.0,8.0,3.0,0,0,5.0
22103,1,1,1,2,71503,4,71,3,5.0,8.0,2.0,1.0,1.0,1.0,1.0,3,2,2,2.0,,,3.0,6.5,1.0,1,2,6.33
26063,1,2,1,2,84101,5,84,3,,,1.0,1.0,,2.0,2.0,1,3,1,1.0,1,2,3.0,,1.0,0,3,1.83
18596,1,1,1,2,54101,2,54,1,7.0,5.0,3.0,1.0,1.0,2.0,1.0,4,,2,1.0,2,2,3.0,6.0,1.0,1,0,6.83
7949,1,1,1,2,31101,3,311,1,3.0,5.0,2.0,3.0,3.0,2.0,2.0,1,1,1,1.0,1,2,2.0,4.0,3.0,0,3,5.0
18377,1,1,1,2,53301,2,53,1,5.0,8.0,1.0,2.0,,2.0,2.0,1,1,1,2.0,,,3.0,6.5,2.0,0,3,3.17
19602,1,1,1,2,61901,4,61,1,3.0,7.0,1.0,1.0,,2.0,2.0,1,2,1,2.0,,,3.0,5.0,1.0,0,3,1.83
5652,2,1,1,2,21401,1,21,1,5.0,8.0,2.0,1.0,2.0,2.0,2.0,3,5,1,1.0,9,9,2.0,6.5,2.0,0,2,3.67
14878,2,1,1,2,42101,3,42,1,8.0,5.0,1.0,2.0,,2.0,2.0,1,2,2,1.0,1,2,2.0,6.5,2.0,0,3,3.17
