,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
12940,1,2,1,2,41301,3,413,1,8.0,6.0,2.0,1.0,3.0,1.0,2.0,1,2,1,2.0,,,1.0,7.0,3.0,1,3,9.0
15151,2,1,1,2,42101,3,42,1,8.0,8.0,3.0,2.0,2.0,2.0,2.0,4,,2,2.0,,,2.0,8.0,2.0,0,0,4.17
8777,2,1,1,2,31201,3,31,1,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2,3,2,1.0,1,1,2.0,3.5,1.0,1,1,6.83
4948,1,1,1,2,21201,4,21,1,8.0,8.0,3.0,1.0,1.0,2.0,2.0,3,4,2,2.0,,,3.0,8.0,1.0,0,2,2.83
18040,2,1,1,2,53101,2,53,1,8.0,8.0,2.0,1.0,2.0,1.0,1.0,4,,2,1.0,2,2,2.0,8.0,2.0,1,0,7.67
10754,2,3,1,2,32102,3,32,1,5.0,3.0,1.0,2.0,,2.0,2.0,1,1,1,1.0,2,2,2.0,4.0,2.0,0,3,3.17
31399,2,1,1,2,101501,3,1015,1,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1,1,2,2.0,,,2.0,3.0,2.0,0,3,4.17
12370,2,1,1,2,41301,3,413,1,3.0,5.0,1.0,2.0,,2.0,2.0,1,1,2,1.0,1,2,1.0,4.0,2.0,0,3,3.17
28115,1,2,1,2,91301,5,913,3,8.0,5.0,2.0,2.0,3.0,2.0,2.0,1,5,2,1.0,9,9,1.0,6.5,3.0,0,3,5.0
16940,2,2,1,2,51202,2,51,1,8.0,8.0,2.0,1.0,1.0,2.0,2.0,1,2,2,2.0,,,3.0,8.0,1.0,0,3,2.33
8011,1,1,1,2,31101,3,311,1,,,1.0,,,2.0,2.0,1,4,2,2.0,,,3.0,,0.0,0,3,0.5
30905,2,2,1,2,101501,3,1015,1,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4,,1,1.0,1,2,2.0,3.0,3.0,0,0,5.0
14265,2,1,1,2,41403,3,41,1,8.0,4.0,2.0,1.0,2.0,2.0,2.0,3,3,2,1.0,1,2,2.0,6.0,2.0,0,2,3.67
9139,2,1,1,2,31301,5,313,1,8.0,8.0,2.0,1.0,2.0,1.0,2.0,3,5,1,2.0,,,2.0,8.0,2.0,1,2,7.67
19664,1,2,1,2,61901,4,61,1,7.0,7.0,2.0,1.0,1.0,2.0,2.0,1,2,1,2.0,,,3.0,7.0,1.0,0,3,2.33
23711,1,2,1,2,73102,4,73,1,,,1.0,2.0,,1.0,2.0,1,1,2,1.0,1,2,2.0,,2.0,1,3,7.17
20827,2,1,1,2,71403,4,71,1,,,1.0,2.0,,2.0,2.0,4,,2,2.0,,,3.0,,2.0,0,0,3.17
1124,2,1,1,2,11201,3,112,1,3.0,1.0,1.0,2.0,,2.0,2.0,1,2,1,1.0,1,2,2.0,2.0,2.0,0,3,3.17
11214,1,1,1,2,41202,3,41,1,4.0,4.0,1.0,2.0,,2.0,2.0,4,,2,2.0,,,2.0,4.0,2.0,0,0,3.17
17432,1,3,1,2,52101,2,52,1,,4.0,1.0,1.0,,2.0,1.0,4,,1,1.0,2,2,2.0,4.0,1.0,1,0,5.83
18488,1,2,1,2,53301,2,53,1,8.0,5.0,2.0,2.0,1.0,2.0,1.0,1,9,1,2.0,,,2.0,6.5,2.0,1,3,7.67
30536,1,1,1,2,101401,3,1014,3,6.0,4.0,3.0,1.0,2.0,1.0,2.0,1,1,1,2.0,,,3.0,5.0,2.0,1,3,8.17
1873,2,1,1,2,11201,3,112,1,,,1.0,2.0,,2.0,1.0,1,1,2,1.0,2,2,1.0,,2.0,1,3,7.17
21974,2,3,1,2,71503,4,71,1,3.0,3.0,1.0,2.0,,2.0,2.0,2,3,2,2.0,,,2.0,3.0,2.0,0,1,3.17
22437,1,1,1,2,71601,4,71,1,4.0,6.0,1.0,1.0,,1.0,2.0,4,,1,1.0,1,2,3.0,5.0,1.0,1,0,5.83
12875,2,3,1,2,41301,3,413,1,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4,,1,2.0,,,2.0,2.5,3.0,0,0,5.0
30575,2,1,1,2,101401,3,1014,1,4.0,4.0,1.0,2.0,,2.0,2.0,3,3,1,2.0,,,2.0,4.0,2.0,0,2,3.17
19686,1,3,1,1,61901,4,61,1,5.0,5.0,3.0,1.0,3.0,2.0,2.0,4,,1,1.0,2,2,3.0,5.0,3.0,0,0,5.5
18828,2,1,1,2,54101,2,54,1,8.0,7.0,3.0,1.0,3.0,2.0,1.0,1,1,2,1.0,2,2,3.0,7.5,3.0,1,3,9.5
4244,2,1,1,2,11901,3,11,1,3.0,3.0,1.0,2.0,,2.0,1.0,1,3,1,1.0,1,2,3.0,3.0,2.0,1,3,7.17
20332,1,3,1,2,71301,4,71,1,3.0,3.0,2.0,3.0,2.0,1.0,2.0,4,,1,2.0,,,2.0,3.0,3.0,1,0,9.0
19828,2,2,1,2,61901,4,61,1,3.0,6.0,1.0,3.0,,2.0,2.0,4,,1,1.0,1,2,2.0,4.5,3.0,0,0,4.5
2185,2,3,1,2,11301,3,113,4,7.0,7.0,1.0,2.0,,2.0,2.0,4,,1,2.0,,,2.0,7.0,2.0,0,0,3.17
28092,1,1,1,2,91301,5,913,3,8.0,5.0,1.0,2.0,,2.0,2.0,1,3,2,2.0,,,2.0,6.5,2.0,0,3,3.17
26593,2,2,1,2,91201,5,912,3,3.0,,1.0,1.0,,2.0,2.0,1,5,2,2.0,,,1.0,3.0,1.0,0,3,1.83
3257,2,3,1,2,11301,3,113,3,7.0,4.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,2.0,5.5,1.0,0,0,1.83
6093,2,2,1,2,22202,1,22,1,7.0,5.0,2.0,1.0,2.0,2.0,2.0,3,4,1,1.0,2,1,3.0,6.0,2.0,0,2,3.67
13517,1,2,1,2,41302,3,413,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,1,1,1.0,1,2,2.0,3.0,2.0,0,3,3.17
24256,1,2,1,2,73202,4,73,3,8.0,8.0,2.0,1.0,1.0,1.0,1.0,4,,2,2.0,,,3.0,8.0,1.0,1,0,6.33
22801,2,3,1,2,72101,2,72,1,3.0,8.0,2.0,2.0,1.0,2.0,2.0,1,2,2,2.0,,,1.0,5.5,2.0,0,3,3.67
23899,1,3,1,2,73201,4,73,1,7.0,7.0,1.0,2.0,,2.0,2.0,4,,2,2.0,,,3.0,7.0,2.0,0,0,3.17
28364,2,1,1,2,91402,5,91,1,8.0,8.0,2.0,1.0,2.0,2.0,2.0,3,3,2,2.0,,,2.0,8.0,2.0,0,2,3.67
15799,2,1,1,2,42101,3,42,1,4.0,4.0,2.0,1.0,2.0,2.0,2.0,3,3,2,1.0,1,2,2.0,4.0,2.0,0,2,3.67
23638,2,2,1,2,73101,4,73,1,8.0,8.0,2.0,1.0,2.0,2.0,1.0,1,1,2,2.0,,,2.0,8.0,2.0,1,3,7.67
28949,1,1,1,2,91504,5,91,1,3.0,4.0,1.0,1.0,,1.0,2.0,4,,2,2.0,,,2.0,3.5,1.0,1,0,5.83
22524,1,2,1,2,71603,4,71,1,,,1.0,2.0,,2.0,2.0,4,,2,1.0,1,2,2.0,,2.0,0,0,3.17
22806,2,1,1,2,72101,2,72,1,6.0,7.0,1.0,2.0,,2.0,2.0,3,2,2,2.0,,,2.0,6.5,2.0,0,2,3.17
1207,2,3,1,2,11201,3,112,3,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1,2,2,2.0,,,3.0,3.0,3.0,0,3,5.0
28461,2,2,1,2,91501,5,91,1,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1,1,1,1.0,1,2,1.0,3.0,3.0,0,3,5.0
1525,2,1,1,2,11201,3,112,3,5.0,4.0,1.0,1.0,,2.0,2.0,1,2,2,1.0,1,2,2.0,4.5,1.0,0,3,1.83
23126,1,2,1,2,72401,4,72,1,3.0,3.0,0.0,,,2.0,2.0,2,3,2,2.0,,,2.0,3.0,0.0,0,1,0.0
21646,1,2,1,2,71502,4,71,1,5.0,4.0,1.0,1.0,,1.0,2.0,2,5,2,1.0,1,2,2.0,4.5,1.0,1,1,5.83
4573,1,1,1,2,21101,3,211,1,5.0,8.0,1.0,1.0,,1.0,2.0,4,,2,1.0,1,2,2.0,6.5,1.0,1,0,5.83
20025,1,1,1,2,61901,4,61,1,6.0,5.0,2.0,1.0,3.0,1.0,1.0,1,2,2,1.0,2,2,3.0,5.5,3.0,1,3,9.0
24001,1,3,1,2,73201,4,73,1,4.0,5.0,2.0,1.0,3.0,2.0,1.0,1,2,1,2.0,,,2.0,4.5,3.0,1,3,9.0
10515,2,1,1,2,32102,3,32,3,8.0,6.0,2.0,1.0,2.0,2.0,2.0,3,5,2,2.0,,,2.0,7.0,2.0,0,2,3.67
1969,1,1,1,2,11301,3,113,1,6.0,5.0,2.0,1.0,3.0,1.0,1.0,1,2,2,1.0,2,2,1.0,5.5,3.0,1,3,9.0
22318,1,3,1,2,71601,4,71,1,4.0,4.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,3.0,4.0,1.0,0,0,1.83
31625,1,1,1,2,109999,4,109,1,4.0,4.0,1.0,2.0,,2.0,2.0,1,1,2,2.0,,,2.0,4.0,2.0,0,3,3.17
15998,2,1,1,2,42101,3,42,1,6.0,5.0,2.0,2.0,2.0,2.0,2.0,1,1,2,1.0,1,2,2.0,5.5,2.0,0,3,3.67
30752,1,2,1,2,101401,3,1014,1,6.0,8.0,2.0,2.0,1.0,2.0,2.0,1,1,1,2.0,,,2.0,7.0,2.0,0,3,3.67
14993,2,1,1,2,42101,3,42,1,6.0,7.0,2.0,1.0,2.0,1.0,1.0,1,2,1,1.0,1,1,2.0,6.5,2.0,1,3,7.67
22626,1,2,1,2,71901,4,71,1,3.0,3.0,1.0,1.0,,2.0,2.0,1,2,2,2.0,,,3.0,3.0,1.0,0,3,1.83
22014,1,3,1,2,71503,4,71,1,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4,,1,2.0,,,2.0,3.0,3.0,0,0,5.0
28245,1,1,1,2,91401,4,91,1,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1,1,2,1.0,1,2,2.0,4.0,2.0,1,3,8.17
14744,1,1,1,2,42101,3,42,1,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1,2,1,1.0,1,2,3.0,3.0,3.0,0,3,5.0
15784,2,1,1,2,42101,3,42,3,8.0,8.0,1.0,2.0,,2.0,1.0,1,1,2,1.0,2,2,1.0,8.0,2.0,1,3,7.17
29068,1,1,1,2,91505,5,91,1,6.0,6.0,1.0,2.0,,2.0,2.0,1,3,2,1.0,1,2,2.0,6.0,2.0,0,3,3.17
6159,1,2,1,2,22202,1,22,1,8.0,8.0,1.0,1.0,,1.0,2.0,2,2,1,2.0,,,2.0,8.0,1.0,1,1,5.83
15786,2,1,1,2,42101,3,42,1,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1,1,2,1.0,1,2,3.0,4.0,2.0,0,3,3.67
29232,1,2,1,2,91601,5,91,1,5.0,4.0,2.0,2.0,2.0,2.0,1.0,1,2,2,1.0,1,2,2.0,4.5,2.0,1,3,7.67
23976,1,3,1,2,73201,4,73,1,7.0,4.0,1.0,2.0,,2.0,2.0,1,2,1,2.0,,,2.0,5.5,2.0,0,3,3.17
6017,2,3,1,2,22202,1,22,1,,,1.0,1.0,,2.0,2.0,1,1,2,1.0,1,2,2.0,,1.0,0,3,1.83
26717,2,3,1,2,91201,5,912,1,3.0,3.0,1.0,3.0,,2.0,2.0,1,4,2,1.0,1,2,1.0,3.0,3.0,0,3,4.5
16041,1,2,1,2,42101,3,42,1,8.0,8.0,1.0,1.0,,1.0,2.0,1,1,1,2.0,,,2.0,8.0,1.0,1,3,5.83
8931,2,1,1,1,31301,5,313,1,8.0,8.0,1.0,2.0,,2.0,2.0,1,2,1,2.0,,,2.0,8.0,2.0,0,3,3.17
1502,2,3,1,2,11201,3,112,3,3.0,4.0,1.0,1.0,,2.0,2.0,1,9,1,2.0,,,2.0,3.5,1.0,0,3,1.83
24680,1,1,1,2,73202,4,73,3,8.0,8.0,1.0,1.0,,2.0,2.0,2,1,1,2.0,,,2.0,8.0,1.0,0,1,1.83
27126,2,3,1,2,91301,5,913,1,8.0,8.0,4.0,1.0,1.0,2.0,1.0,1,5,2,1.0,2,2,2.0,8.0,1.0,1,3,7.33
25606,2,3,1,2,82101,4,82,1,1.0,3.0,1.0,1.0,,2.0,2.0,4,,1,1.0,1,2,2.0,2.0,1.0,0,0,1.83
13106,2,2,1,2,41301,3,413,1,7.0,7.0,2.0,1.0,3.0,2.0,2.0,3,1,1,1.0,1,2,3.0,7.0,3.0,0,2,5.0
2115,2,2,1,2,11301,3,113,1,5.0,4.0,2.0,2.0,3.0,2.0,2.0,1,2,1,1.0,9,9,1.0,4.5,3.0,0,3,5.0
10868,1,1,1,2,32102,3,32,1,8.0,8.0,3.0,1.0,1.0,2.0,2.0,3,3,2,1.0,2,1,2.0,8.0,1.0,0,2,2.83
5808,2,1,1,2,22201,1,22,1,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3,4,1,1.0,2,2,3.0,3.0,1.0,1,2,6.33
2120,2,2,1,2,11301,3,113,1,2.0,3.0,1.0,2.0,,2.0,2.0,1,2,1,2.0,,,1.0,2.5,2.0,0,3,3.17
4408,1,2,1,2,21101,3,211,1,5.0,2.0,2.0,2.0,3.0,2.0,2.0,3,4,1,1.0,1,2,3.0,3.5,3.0,0,2,5.0
29120,1,1,1,2,91505,5,91,1,8.0,6.0,2.0,3.0,3.0,2.0,2.0,1,2,2,2.0,,,2.0,7.0,3.0,0,3,5.0
6032,1,1,1,2,22202,1,22,1,3.0,8.0,1.0,2.0,,2.0,2.0,1,1,2,2.0,,,2.0,5.5,2.0,0,3,3.17
17220,1,1,1,2,52101,2,52,1,5.0,8.0,2.0,1.0,2.0,2.0,1.0,4,,2,1.0,2,2,3.0,6.5,2.0,1,0,7.67
20850,1,1,1,2,71403,4,71,1,8.0,8.0,1.0,1.0,,1.0,2.0,4,,1,2.0,,,3.0,8.0,1.0,1,0,5.83
15823,1,1,1,2,42101,3,42,1,8.0,8.0,2.0,1.0,1.0,2.0,2.0,3,4,2,1.0,2,2,2.0,8.0,1.0,0,2,2.33
16143,2,1,1,2,42101,3,42,1,,,2.0,2.0,3.0,2.0,2.0,3,4,2,1.0,1,2,2.0,,3.0,0,2,5.0
16128,1,1,1,2,42101,3,42,3,5.0,4.0,2.0,1.0,3.0,2.0,2.0,2,4,1,1.0,1,2,3.0,4.5,3.0,0,1,5.0
14222,2,1,1,2,41403,3,41,3,6.0,8.0,2.0,2.0,3.0,2.0,2.0,2,4,1,1.0,1,2,3.0,7.0,3.0,0,1,5.0
1172,2,2,1,2,11201,3,112,1,,7.0,1.0,2.0,,2.0,2.0,4,,2,2.0,,,2.0,7.0,2.0,0,0,3.17
21715,2,1,1,2,71502,4,71,1,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3,1,2,1.0,1,2,2.0,4.0,3.0,1,2,9.0
7468,2,2,1,2,23201,1,23,1,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1,3,1,1.0,1,2,1.0,3.5,2.0,1,3,7.67
21467,1,2,1,2,71502,4,71,1,7.0,8.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,2.0,7.5,1.0,0,0,1.83
18422,1,2,1,2,53301,2,53,1,5.0,6.0,2.0,2.0,3.0,1.0,1.0,4,,2,1.0,1,2,3.0,5.5,3.0,1,0,9.0
10967,2,1,1,2,32102,3,32,1,6.0,6.0,2.0,1.0,3.0,2.0,2.0,3,5,2,1.0,1,2,2.0,6.0,3.0,0,2,5.0
4426,2,2,1,2,21101,3,211,1,,7.0,1.0,2.0,,2.0,2.0,2,2,2,2.0,,,2.0,7.0,2.0,0,1,3.17
17148,1,1,1,2,52101,2,52,1,4.0,5.0,1.0,1.0,,2.0,2.0,2,2,2,1.0,1,2,2.0,4.5,1.0,0,1,1.83
15594,2,1,1,2,42101,3,42,1,5.0,8.0,1.0,2.0,,2.0,2.0,2,4,1,2.0,,,1.0,6.5,2.0,0,1,3.17
21573,1,2,1,2,71502,4,71,1,8.0,8.0,3.0,1.0,1.0,2.0,2.0,2,4,2,2.0,,,2.0,8.0,1.0,0,1,2.83
15174,1,2,1,2,42101,3,42,1,8.0,8.0,1.0,3.0,,2.0,2.0,3,5,2,2.0,,,1.0,8.0,3.0,0,2,4.5
14753,1,1,1,2,42101,3,42,1,8.0,8.0,1.0,1.0,,2.0,2.0,2,4,1,2.0,,,2.0,8.0,1.0,0,1,1.83
24892,1,3,1,2,81102,4,81,1,2.0,4.0,1.0,1.0,,2.0,2.0,4,,1,2.0,,,2.0,3.0,1.0,0,0,1.83
17996,1,2,1,2,53101,2,53,1,4.0,8.0,2.0,1.0,3.0,2.0,2.0,3,2,2,2.0,,,2.0,6.0,3.0,0,2,5.0
3857,1,3,1,2,11401,3,11,1,4.0,3.0,1.0,2.0,,2.0,2.0,4,,1,2.0,,,2.0,3.5,2.0,0,0,3.17
17719,1,1,1,2,53101,2,53,1,8.0,8.0,3.0,1.0,2.0,1.0,2.0,1,1,2,2.0,,,2.0,8.0,2.0,1,3,8.17
18971,1,1,1,2,61301,4,61,1,8.0,5.0,5.0,1.0,3.0,2.0,2.0,1,1,2,1.0,1,2,3.0,6.5,3.0,0,3,6.0
17020,2,1,1,2,51202,2,51,1,8.0,4.0,2.0,1.0,3.0,2.0,2.0,1,4,1,2.0,,,3.0,6.0,3.0,0,3,5.0
28295,1,1,1,2,91402,5,91,1,5.0,4.0,1.0,1.0,,2.0,2.0,1,1,1,1.0,1,2,2.0,4.5,1.0,0,3,1.83
11608,2,3,1,2,41301,3,413,1,5.0,5.0,1.0,2.0,,2.0,2.0,2,2,1,2.0,,,1.0,5.0,2.0,0,1,3.17
30187,2,1,1,2,92301,3,92,3,4.0,6.0,1.0,1.0,,2.0,1.0,1,3,1,1.0,1,1,2.0,5.0,1.0,1,3,5.83
23668,2,3,1,2,73102,4,73,1,3.0,3.0,1.0,2.0,,2.0,1.0,4,,1,1.0,1,2,2.0,3.0,2.0,1,0,7.17
5324,2,1,1,2,21302,1,21,1,8.0,8.0,3.0,1.0,1.0,2.0,1.0,2,3,2,1.0,2,2,2.0,8.0,1.0,1,1,6.83
15469,1,1,1,2,42101,3,42,1,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1,4,2,1.0,1,1,2.0,4.0,2.0,0,3,3.67
23951,1,2,1,2,73201,4,73,1,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1,1,1,1.0,2,2,2.0,3.5,2.0,0,3,4.17
12541,1,2,1,2,41301,3,413,1,5.0,4.0,2.0,1.0,2.0,2.0,2.0,1,2,1,1.0,1,2,3.0,4.5,2.0,0,3,3.67
12301,2,1,1,2,41301,3,413,1,4.0,8.0,1.0,2.0,,2.0,2.0,3,2,1,2.0,,,2.0,6.0,2.0,0,2,3.17
21693,1,2,1,2,71502,4,71,1,8.0,3.0,1.0,2.0,,1.0,2.0,2,2,2,1.0,1,2,2.0,5.5,2.0,1,1,7.17
19737,2,2,1,2,61901,4,61,1,3.0,3.0,1.0,1.0,,1.0,2.0,4,,1,1.0,1,2,3.0,3.0,1.0,1,0,5.83
21472,1,2,1,2,71502,4,71,1,7.0,4.0,3.0,1.0,2.0,2.0,2.0,2,2,2,2.0,,,3.0,5.5,2.0,0,1,4.17
5184,1,1,1,2,21301,1,21,1,8.0,8.0,2.0,1.0,1.0,2.0,2.0,4,,1,2.0,,,3.0,8.0,1.0,0,0,2.33
16176,2,3,1,2,42101,3,42,1,6.0,6.0,3.0,1.0,3.0,2.0,2.0,4,,1,2.0,,,2.0,6.0,3.0,0,0,5.5
20789,2,1,1,2,71403,4,71,1,8.0,8.0,2.0,1.0,2.0,1.0,1.0,2,4,1,2.0,,,2.0,8.0,2.0,1,1,7.67
17218,1,1,1,2,52101,2,52,1,4.0,6.0,1.0,3.0,,2.0,2.0,1,1,2,1.0,1,2,2.0,5.0,3.0,0,3,4.5
15854,2,1,1,2,42101,3,42,1,,7.0,1.0,2.0,,2.0,2.0,1,2,2,2.0,,,2.0,7.0,2.0,0,3,3.17
21049,1,3,1,2,71404,4,71,1,6.0,4.0,1.0,2.0,,2.0,2.0,2,5,1,2.0,,,2.0,5.0,2.0,0,1,3.17
10052,1,1,1,2,31402,3,31,1,4.0,3.0,1.0,2.0,,1.0,2.0,1,1,2,2.0,,,2.0,3.5,2.0,1,3,7.17
10917,2,1,1,2,32102,3,32,1,8.0,8.0,3.0,1.0,1.0,2.0,2.0,3,5,1,2.0,,,2.0,8.0,1.0,0,2,2.83
16257,2,1,1,2,51101,2,51,1,6.0,5.0,1.0,1.0,,2.0,2.0,1,1,2,1.0,1,2,2.0,5.5,1.0,0,3,1.83
27350,2,1,1,2,91301,5,913,1,4.0,4.0,1.0,2.0,,2.0,2.0,1,5,2,1.0,2,2,2.0,4.0,2.0,0,3,3.17
2388,2,2,1,2,11301,3,113,4,4.0,8.0,1.0,2.0,,2.0,2.0,4,,1,2.0,,,2.0,6.0,2.0,0,0,3.17
4280,2,1,1,2,11901,3,11,1,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1,1,2,1.0,1,2,2.0,4.0,2.0,0,3,3.67
14633,1,2,1,2,42101,3,42,1,8.0,4.0,2.0,1.0,2.0,1.0,1.0,1,1,2,1.0,2,2,2.0,6.0,2.0,1,3,7.67
2575,1,3,1,2,11301,3,113,3,3.0,3.0,1.0,2.0,,2.0,2.0,2,1,1,2.0,,,2.0,3.0,2.0,0,1,3.17
19045,1,1,1,2,61901,4,61,1,5.0,4.0,1.0,2.0,,2.0,2.0,1,2,2,1.0,1,1,3.0,4.5,2.0,0,3,3.17
20492,1,1,1,2,71302,4,71,1,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1,2,2,1.0,1,2,3.0,2.5,1.0,0,3,2.33
16905,2,1,1,2,51202,2,51,1,8.0,6.0,3.0,1.0,1.0,1.0,1.0,1,1,2,1.0,2,2,2.0,7.0,1.0,1,3,6.83
21164,1,3,1,2,71404,4,71,1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1,1,1,2.0,,,2.0,2.0,3.0,0,3,5.0
4115,2,1,1,2,11901,3,11,1,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1,2,1,1.0,1,2,2.0,3.0,3.0,0,3,5.5
15988,2,1,1,2,42101,3,42,3,,,1.0,1.0,,1.0,1.0,1,2,2,1.0,2,2,2.0,,1.0,1,3,5.83
22174,2,1,1,2,71503,4,71,1,4.0,3.0,1.0,1.0,,1.0,2.0,4,,2,1.0,1,2,3.0,3.5,1.0,1,0,5.83
25355,1,2,1,2,82101,4,82,1,5.0,3.0,0.0,,,2.0,2.0,1,1,2,2.0,,,2.0,4.0,0.0,0,3,0.0
19049,1,1,1,2,61901,4,61,3,7.0,3.0,1.0,2.0,,1.0,2.0,1,2,1,2.0,,,3.0,5.0,2.0,1,3,7.17
3213,2,1,1,2,11301,3,113,3,5.0,7.0,1.0,2.0,,1.0,2.0,1,4,2,1.0,1,2,2.0,6.0,2.0,1,3,7.17
6572,1,2,1,2,22901,1,22,1,5.0,5.0,3.0,1.0,2.0,1.0,2.0,4,,1,1.0,1,2,3.0,5.0,2.0,1,0,8.17
4924,2,1,1,2,21201,1,21,1,8.0,8.0,2.0,1.0,2.0,2.0,1.0,4,,2,2.0,,,3.0,8.0,2.0,1,0,7.67
11525,2,2,1,2,41301,3,413,1,2.0,3.0,2.0,,,2.0,2.0,4,,1,1.0,1,2,2.0,2.5,0.0,0,0,1.0
24823,2,1,1,2,81102,4,81,1,3.0,3.0,1.0,,,2.0,2.0,4,,2,1.0,1,2,2.0,3.0,0.0,0,0,0.5
13889,2,3,1,2,41401,3,41,1,5.0,5.0,1.0,2.0,,2.0,2.0,1,1,2,1.0,2,2,2.0,5.0,2.0,0,3,3.17
13600,2,1,1,2,41302,3,413,1,3.0,3.0,1.0,2.0,,2.0,2.0,1,2,1,1.0,1,2,3.0,3.0,2.0,0,3,3.17
19657,1,2,1,2,61901,4,61,1,8.0,3.0,2.0,1.0,3.0,2.0,2.0,1,4,1,1.0,1,2,3.0,5.5,3.0,0,3,5.0
18623,1,1,1,2,54101,4,54,1,8.0,8.0,2.0,1.0,3.0,2.0,2.0,4,,2,2.0,,,3.0,8.0,3.0,0,0,5.0
17591,1,1,1,2,52101,2,52,1,4.0,6.0,3.0,1.0,2.0,2.0,2.0,1,1,2,1.0,1,2,2.0,5.0,2.0,0,3,4.17
24761,2,2,1,2,73202,4,73,1,8.0,8.0,4.0,1.0,1.0,1.0,1.0,2,2,1,2.0,,,3.0,8.0,1.0,1,1,7.33
14972,2,1,1,2,42101,3,42,1,8.0,8.0,1.0,2.0,,2.0,2.0,1,1,1,2.0,,,2.0,8.0,2.0,0,3,3.17
6156,2,1,1,2,22202,1,22,1,8.0,7.0,2.0,1.0,3.0,2.0,2.0,1,1,2,2.0,,,2.0,7.5,3.0,0,3,5.0
15645,1,1,1,2,42101,3,42,3,4.0,7.0,0.0,,,2.0,2.0,1,3,1,2.0,,,2.0,5.5,0.0,0,3,0.0
30948,2,3,1,2,101501,3,1015,1,8.0,8.0,2.0,1.0,2.0,2.0,2.0,1,1,2,2.0,,,2.0,8.0,2.0,0,3,3.67
15310,2,3,1,2,42101,3,42,1,3.0,5.0,1.0,1.0,,2.0,2.0,1,2,1,2.0,,,2.0,4.0,1.0,0,3,1.83
25166,2,1,1,2,81103,4,81,1,,4.0,2.0,1.0,2.0,2.0,2.0,1,1,2,2.0,,,2.0,4.0,2.0,0,3,3.67
21114,1,3,1,2,71404,4,71,1,,,2.0,,,2.0,2.0,2,4,1,2.0,,,3.0,,0.0,0,1,1.0
28038,2,2,1,2,91301,5,913,3,3.0,3.0,1.0,2.0,,2.0,2.0,1,1,1,2.0,,,1.0,3.0,2.0,0,3,3.17
2361,2,1,1,2,11301,3,113,1,8.0,8.0,3.0,1.0,2.0,2.0,2.0,1,3,2,2.0,,,1.0,8.0,2.0,0,3,4.17
25865,2,2,1,2,84101,5,84,1,6.0,6.0,1.0,1.0,,2.0,2.0,3,2,2,2.0,,,2.0,6.0,1.0,0,2,1.83
5586,2,1,1,2,21302,1,21,1,3.0,3.0,2.0,,1.0,2.0,2.0,1,9,2,1.0,9,9,3.0,3.0,1.0,0,3,2.33
25007,1,2,1,2,81103,4,81,1,4.0,4.0,1.0,1.0,,2.0,2.0,1,1,2,1.0,1,2,2.0,4.0,1.0,0,3,1.83
30596,1,1,1,2,101401,3,1014,1,4.0,8.0,1.0,1.0,,2.0,2.0,1,1,2,1.0,1,2,2.0,6.0,1.0,0,3,1.83
236,2,1,1,2,11101,3,11,1,8.0,8.0,0.0,,,2.0,2.0,3,2,1,2.0,,,1.0,8.0,0.0,0,2,0.0
15781,1,1,1,2,42101,3,42,3,8.0,8.0,1.0,1.0,,1.0,2.0,4,,2,2.0,,,2.0,8.0,1.0,1,0,5.83
6903,1,2,2,2,23101,1,23,1,8.0,6.0,1.0,1.0,,1.0,1.0,2,5,2,1.0,1,2,2.0,7.0,1.0,1,1,5.83
19143,1,3,2,2,61901,4,61,3,8.0,4.0,1.0,1.0,,1.0,2.0,2,5,1,2.0,,,3.0,6.0,1.0,1,1,5.83
